Unnamed: 0,Name,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Kilometers_Per_Year,Is_First_Owner,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Brand_Ambassador,Brand_Audi,Brand_BMW,Brand_Bentley,Brand_Chevrolet,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_ISUZU,Brand_Isuzu,Brand_Jaguar,Brand_Jeep,Brand_Lamborghini,Brand_Land,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,First,20.45,1461.0,83.8,5.0,11.75,6.34,12,5959.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,First,14.84,2143.0,167.62,5.0,28.0,28.0,12,6038.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,BMW 3 Series 320d,2014,32982,First,22.69,1995.0,190.0,5.0,47.87,18.55,12,2537.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,Maruti S Cross DDiS 200 Alpha,2015,55392,Second,23.65,1248.0,88.5,5.0,11.75,8.25,11,4616.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,First,13.53,1984.0,177.01,5.0,23.5,23.5,11,4665.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Hyundai i20 1.2 Magna,2010,45807,First,18.5,1197.0,80.0,5.0,11.75,1.87,16,2695.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Volkswagen Vento Petrol Highline AT,2010,33000,First,14.4,1598.0,103.6,5.0,11.75,2.85,16,1941.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,Honda City Corporate Edition,2012,51920,First,16.8,1497.0,116.3,5.0,11.75,4.25,14,3461.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Nissan Micra Diesel XV,2012,54000,First,26.368000000000002,1461.0,63.1,5.0,11.75,4.25,14,3600.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Maruti Alto K10 2010-2014 VXI,2013,54000,Second,20.92,998.0,67.1,5.0,11.75,2.75,13,3857.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,Honda WRV i-VTEC VX,2018,37430,First,17.5,1199.0,88.7,5.0,10.57,9.9,8,4159.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,11.75,4.0,19,13100.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,First,19.01,1461.0,108.45,5.0,11.75,7.75,13,4429.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Toyota Corolla Altis G,2012,87615,First,14.53,1798.0,138.1,5.0,11.75,6.75,14,5841.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Mahindra Ssangyong Rexton RX7,2013,72000,Second,11.18,2696.0,184.0,7.0,12.5,12.5,13,5143.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,Audi A6 2.7 TDI,2010,35000,First,12.4,2698.0,179.5,5.0,11.75,11.5,16,2059.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Volkswagen Vento 1.6 Highline,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33,6.98,12,4264.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35,Maruti Wagon R LXI BSIII,2009,83816,Second,14.0,1061.0,64.0,5.0,11.75,1.85,17,4656.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Maruti Vitara Brezza ZDi Plus,2018,50075,First,24.3,1248.0,88.5,5.0,11.12,8.63,8,5564.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,First,18.15,1198.0,82.0,5.0,11.75,4.85,9,5200.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,First,11.74,2987.0,254.8,5.0,28.0,28.0,13,6071.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,First,22.07,1199.0,73.9,5.0,11.75,5.0,13,4429.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,Maruti Alto LXi,2008,90000,Second,19.7,796.0,46.3,5.0,11.75,1.25,18,4737.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,Tata Nano LX SE,2014,19698,First,25.4,624.0,37.5,4.0,11.75,1.53,12,1515.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,First,25.32,1198.0,77.0,6.0,11.75,5.58,9,2203.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Hyundai i20 Magna Optional 1.2,2014,35487,First,18.5,1197.0,82.9,5.0,11.75,4.74,12,2730.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,First,14.62,1999.0,149.92,5.0,23.64,8.85,12,3567.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,Toyota Corolla Altis G AT,2016,52001,First,14.28,1798.0,138.03,5.0,11.75,10.11,10,4727.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,Hyundai Elantra CRDi,2008,58005,Second,14.9,1991.0,112.2,5.0,11.75,4.25,18,3053.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,First,11.25,2694.0,163.7,7.0,18.64,10.95,14,4714.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Hyundai Xcent 1.1 CRDi S,2014,75000,First,24.4,1120.0,71.0,5.0,11.75,3.85,12,5769.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Mahindra Thar CRDe AC,2012,75800,Second,16.55,2498.0,105.0,6.0,11.75,5.5,14,5053.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,First,17.11,1968.0,174.33,5.0,21.43,21.43,11,1137.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Maruti Swift LDI,2014,52000,First,22.9,1248.0,74.0,5.0,7.13,4.25,12,4000.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,Maruti Swift Ldi BSIV,2014,53000,First,17.8,1248.0,75.0,5.0,11.75,3.3,12,4077.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Maruti Swift VDI,2013,65650,First,28.4,1248.0,74.0,5.0,7.92,3.85,13,4689.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,Hyundai Grand i10 Sportz,2015,54000,Third,18.9,1197.0,82.0,5.0,11.75,3.6,11,4500.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,First,15.04,1598.0,103.2,5.0,11.75,3.99,11,3250.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,Renault KWID RXT,2017,16542,First,25.17,799.0,53.3,5.0,11.75,3.3,9,1654.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,Hyundai i10 Asta,2010,32000,First,20.36,1197.0,78.9,5.0,11.75,2.07,16,1882.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Nissan X-Trail SLX AT,2010,121812,First,15.184000000000001,1995.0,147.6,5.0,11.75,7.75,16,7165.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Maruti Zen Estilo VXI BSIII,2010,39300,First,18.2,998.0,67.1,5.0,11.75,2.25,16,2312.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,First,13.68,2393.0,147.8,8.0,19.34,16.5,9,2200.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
61,Ford Figo Diesel Titanium,2010,72000,First,20.0,1399.0,68.0,5.0,11.75,2.75,16,4235.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,First,11.74,1796.0,186.0,5.0,26.7,26.7,11,4833.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Second,15.8,2148.0,170.0,5.0,11.75,10.0,15,4062.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Tata Indica V2 eLS,2016,178000,First,25.0,1396.0,69.0,5.0,11.75,2.5,10,16182.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,Audi A4 2.0 TDI Multitronic,2012,65664,First,16.55,1968.0,140.0,5.0,13.5,13.5,14,4378.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,Honda City ZX CVT,2007,63000,Second,16.4,1497.0,78.0,5.0,11.75,1.85,19,3150.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,First,0.0,1950.0,194.0,5.0,49.14,35.67,7,1921.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,Maruti Ertiga SHVS VDI,2016,63000,First,24.52,1248.0,88.5,7.0,11.75,8.15,10,5727.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,First,22.1,1396.0,88.7,5.0,11.81,10.5,8,1444.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Porsche Cayenne 2009-2014 Turbo,2008,73000,First,8.5,4806.0,500.0,5.0,14.5,14.5,18,3842.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,Mahindra XUV500 W8 4WD,2015,55729,First,15.1,2179.0,140.0,7.0,11.75,9.65,11,4644.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,Hyundai i10 Sportz 1.2 AT,2012,45178,First,16.95,1197.0,78.9,5.0,11.75,3.48,14,3012.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Nissan Terrano XV D Pre,2015,56066,First,19.64,1461.0,108.5,5.0,16.65,6.92,11,4672.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,Honda Brio VX AT,2016,37300,Second,16.5,1198.0,86.8,5.0,11.75,6.46,10,3391.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,Audi A6 2.0 TDI Design Edition,2014,56000,Second,18.53,1968.0,187.74,5.0,29.5,29.5,12,4308.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Toyota Innova 2.0 G1,2006,230000,Third,12.4,1998.0,132.0,8.0,11.75,4.5,20,10952.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,First,12.8,2494.0,102.0,7.0,11.75,11.75,14,6933.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,Maruti Swift VDI,2012,95100,First,22.9,1248.0,74.0,5.0,7.92,3.75,14,6340.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Tata Zest Revotron 1.2T XE,2017,70000,First,17.57,1193.0,88.7,5.0,6.67,4.5,9,7000.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Honda Amaze SX i-VTEC,2016,54944,First,18.0,1198.0,86.7,5.0,11.75,4.82,10,4995.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,Ford Figo Diesel ZXI,2012,70337,First,20.0,1399.0,68.0,5.0,11.75,2.8,14,4689.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,Maruti Ritz VDi,2013,99638,First,23.2,1248.0,73.94,5.0,11.75,3.11,13,7117.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,Honda City i VTEC E,2009,52000,First,17.8,1497.0,117.3,5.0,11.75,3.25,17,2889.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,BMW 5 Series 2003-2012 525d,2011,75000,Second,16.73,1995.0,218.0,5.0,13.9,13.9,15,4688.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,Hyundai i10 Sportz 1.2,2009,95980,First,20.36,1197.0,78.9,5.0,11.75,2.25,17,5332.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
